0.01
",0.015"
",0.016"
",0.018"
",0.037"
",0.042"
",0.047"
",0.052"
",0.064"
",0.068"
",0.077"
",0.087"
",0.091"
",0.093"
",0.106"
",0.118"
",0.118"
",0.122"
",0.133"
",0.142"
",0.145"
",0.159"
",0.159"
",0.165"
",0.172"
",0.183"
",0.187"
",0.195"
",0.2"
",0.206"
",0.209"
",0.226"
",0.228"
",0.229"
",0.232"
",0.246"
",0.249"
",0.256"
",0.263"
",0.267"
",0.269"
",0.28"
",0.284"
",0.285"
",0.294"
",0.299"
",0.306"
",0.308"
",0.313"
",0.314"
",0.32"
",0.325"
",0.33"
",0.336"
",0.34"
",0.342"
",0.343"
",0.345"
",0.348"
",0.353"
",0.355"
",0.36"
",0.36"
",0.364"
",0.365"
",0.368"
",0.368"
",0.37"
",0.37"
",0.371"
",0.372"
",0.378"
",0.402"
",0.413"
",0.432"
",0.448"
",0.462"
",0.481"
",0.492"
",0.514"
",0.523"
",0.545"
",0.553"
",0.576"
",0.584"
",0.606"
",0.614"
",0.635"
",0.643"
",0.662"
",0.673"
",0.689"
",0.701"
",0.716"
",0.729"
",0.741"
",0.756"
",0.766"
",0.782"
",0.791"
",0.807"
",0.815"
",0.831"
",0.853"
",0.87"
",0.87"
",0.87"
",0.871"
",0.871"
",0.872"
",0.872"
",0.873"
",0.874"
",0.874"
",0.875"
",0.876"
",0.877"
",0.878"
",0.88"
",0.881"
",0.883"
",0.885"
",0.886"
",0.889"
",0.891"
",0.893"
",0.895"
",0.897"
",0.898"
",0.903"
",0.905"
",0.908"
",0.914"
",0.914"
",0.915"
",0.922"
",0.923"
",0.93"
",0.931"
",0.934"
",0.938"
",0.945"
",0.947"
",0.948"
",0.953"
",0.957"
",0.958"
",0.963"
",0.968"
",0.971"
",0.976"
",0.977"
",0.979"
",0.984"
",0.991"
",0.991"
",0.998"
",0.998"
",1.003"
",1.003"
",1.012"
",1.015"
",1.015"
",1.02"
",1.026"
",1.026"
",1.027"
",1.036"
",1.04"
",1.04"
",1.04"
",1.046"
",1.053"
",1.053"
",1.055"
",1.06"
",1.064"
",1.065"
",1.066"
",1.073"
",1.077"
",1.078"
",1.079"
",1.081"
",1.089"
",1.089"
",1.089"
",1.096"
",1.097"
",1.099"
",1.1"
",1.103"
",1.108"
",1.11"
",1.111"
",1.113"
",1.116"
",1.116"
",1.121"
",1.122"
",1.122"
",1.126"
",1.127"
",1.129"
",1.129"
",1.131"
",1.132"
",1.132"
",1.133"
",1.134"
",1.134"
",1.141"
",1.143"
",1.149"
",1.155"
",1.157"
",1.165"
",1.167"
",1.171"
",1.177"
",1.178"
",1.183"
",1.185"
",1.189"
",1.193"
",1.193"
",1.197"
",1.199"
",1.201"
",1.204"
",1.205"
",1.207"
",1.208"
",1.21"
",1.211"
",1.212"
",1.212"
",1.213"
",1.213"
",1.213"
